instance_name,dataset,node_id,node_type,x_coord,y_coord,demand,demand_type,distribution,parameters
A-n44-k6,Christiansen and Lysgaard (2007),1,depot,14.0,68.0,0.0,none,,
A-n44-k6,Christiansen and Lysgaard (2007),2,customer,73.0,2.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),3,customer,13.0,47.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),4,customer,37.0,44.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n44-k6,Christiansen and Lysgaard (2007),5,customer,34.0,63.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n44-k6,Christiansen and Lysgaard (2007),6,customer,58.0,98.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n44-k6,Christiansen and Lysgaard (2007),7,customer,33.0,42.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n44-k6,Christiansen and Lysgaard (2007),8,customer,18.0,98.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n44-k6,Christiansen and Lysgaard (2007),9,customer,24.0,79.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),10,customer,17.0,28.0,3.0,stochastic,Poisson,{'lambda': 3.0}
A-n44-k6,Christiansen and Lysgaard (2007),11,customer,72.0,67.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),12,customer,78.0,63.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),13,customer,42.0,48.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),14,customer,1.0,2.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n44-k6,Christiansen and Lysgaard (2007),15,customer,2.0,28.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n44-k6,Christiansen and Lysgaard (2007),16,customer,32.0,82.0,4.0,stochastic,Poisson,{'lambda': 4.0}
A-n44-k6,Christiansen and Lysgaard (2007),17,customer,97.0,38.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),18,customer,39.0,53.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),19,customer,87.0,1.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),20,customer,42.0,77.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n44-k6,Christiansen and Lysgaard (2007),21,customer,83.0,27.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n44-k6,Christiansen and Lysgaard (2007),22,customer,79.0,92.0,2.0,stochastic,Poisson,{'lambda': 2.0}
A-n44-k6,Christiansen and Lysgaard (2007),23,customer,22.0,39.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n44-k6,Christiansen and Lysgaard (2007),24,customer,58.0,32.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n44-k6,Christiansen and Lysgaard (2007),25,customer,53.0,84.0,3.0,stochastic,Poisson,{'lambda': 3.0}
A-n44-k6,Christiansen and Lysgaard (2007),26,customer,38.0,37.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),27,customer,63.0,59.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),28,customer,42.0,88.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),29,customer,32.0,88.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),30,customer,38.0,23.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n44-k6,Christiansen and Lysgaard (2007),31,customer,63.0,32.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),32,customer,22.0,73.0,23.0,stochastic,Poisson,{'lambda': 23.0}
A-n44-k6,Christiansen and Lysgaard (2007),33,customer,88.0,94.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n44-k6,Christiansen and Lysgaard (2007),34,customer,58.0,78.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n44-k6,Christiansen and Lysgaard (2007),35,customer,43.0,62.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),36,customer,73.0,1.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),37,customer,17.0,32.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n44-k6,Christiansen and Lysgaard (2007),38,customer,87.0,79.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n44-k6,Christiansen and Lysgaard (2007),39,customer,12.0,24.0,4.0,stochastic,Poisson,{'lambda': 4.0}
A-n44-k6,Christiansen and Lysgaard (2007),40,customer,48.0,53.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n44-k6,Christiansen and Lysgaard (2007),41,customer,48.0,23.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n44-k6,Christiansen and Lysgaard (2007),42,customer,7.0,37.0,4.0,stochastic,Poisson,{'lambda': 4.0}
A-n44-k6,Christiansen and Lysgaard (2007),43,customer,98.0,77.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n44-k6,Christiansen and Lysgaard (2007),44,customer,34.0,12.0,18.0,stochastic,Poisson,{'lambda': 18.0}
