instance_name,dataset,node_id,node_type,x_coord,y_coord,demand,demand_type,distribution,parameters
E-n51-k5,Christiansen and Lysgaard (2007),1,depot,30.0,40.0,0.0,none,,
E-n51-k5,Christiansen and Lysgaard (2007),2,customer,37.0,52.0,7.0,stochastic,Poisson,{'lambda': 7.0}
E-n51-k5,Christiansen and Lysgaard (2007),3,customer,49.0,49.0,30.0,stochastic,Poisson,{'lambda': 30.0}
E-n51-k5,Christiansen and Lysgaard (2007),4,customer,52.0,64.0,16.0,stochastic,Poisson,{'lambda': 16.0}
E-n51-k5,Christiansen and Lysgaard (2007),5,customer,20.0,26.0,9.0,stochastic,Poisson,{'lambda': 9.0}
E-n51-k5,Christiansen and Lysgaard (2007),6,customer,40.0,30.0,21.0,stochastic,Poisson,{'lambda': 21.0}
E-n51-k5,Christiansen and Lysgaard (2007),7,customer,21.0,47.0,15.0,stochastic,Poisson,{'lambda': 15.0}
E-n51-k5,Christiansen and Lysgaard (2007),8,customer,17.0,63.0,19.0,stochastic,Poisson,{'lambda': 19.0}
E-n51-k5,Christiansen and Lysgaard (2007),9,customer,31.0,62.0,23.0,stochastic,Poisson,{'lambda': 23.0}
E-n51-k5,Christiansen and Lysgaard (2007),10,customer,52.0,33.0,11.0,stochastic,Poisson,{'lambda': 11.0}
E-n51-k5,Christiansen and Lysgaard (2007),11,customer,51.0,21.0,5.0,stochastic,Poisson,{'lambda': 5.0}
E-n51-k5,Christiansen and Lysgaard (2007),12,customer,42.0,41.0,19.0,stochastic,Poisson,{'lambda': 19.0}
E-n51-k5,Christiansen and Lysgaard (2007),13,customer,31.0,32.0,29.0,stochastic,Poisson,{'lambda': 29.0}
E-n51-k5,Christiansen and Lysgaard (2007),14,customer,5.0,25.0,23.0,stochastic,Poisson,{'lambda': 23.0}
E-n51-k5,Christiansen and Lysgaard (2007),15,customer,12.0,42.0,21.0,stochastic,Poisson,{'lambda': 21.0}
E-n51-k5,Christiansen and Lysgaard (2007),16,customer,36.0,16.0,10.0,stochastic,Poisson,{'lambda': 10.0}
E-n51-k5,Christiansen and Lysgaard (2007),17,customer,52.0,41.0,15.0,stochastic,Poisson,{'lambda': 15.0}
