instance_name,dataset,node_id,node_type,x_coord,y_coord,demand,demand_type,distribution,parameters
A-n38-k5,Christiansen and Lysgaard (2007),1,depot,69.0,63.0,0.0,none,,
A-n38-k5,Christiansen and Lysgaard (2007),2,customer,3.0,35.0,12.0,stochastic,Poisson,{'lambda': 12.0}
A-n38-k5,Christiansen and Lysgaard (2007),3,customer,71.0,79.0,5.0,stochastic,Poisson,{'lambda': 5.0}
A-n38-k5,Christiansen and Lysgaard (2007),4,customer,1.0,47.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n38-k5,Christiansen and Lysgaard (2007),5,customer,11.0,15.0,12.0,stochastic,Poisson,{'lambda': 12.0}
A-n38-k5,Christiansen and Lysgaard (2007),6,customer,87.0,23.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n38-k5,Christiansen and Lysgaard (2007),7,customer,37.0,33.0,12.0,stochastic,Poisson,{'lambda': 12.0}
A-n38-k5,Christiansen and Lysgaard (2007),8,customer,87.0,29.0,11.0,stochastic,Poisson,{'lambda': 11.0}
A-n38-k5,Christiansen and Lysgaard (2007),9,customer,35.0,81.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n38-k5,Christiansen and Lysgaard (2007),10,customer,55.0,71.0,23.0,stochastic,Poisson,{'lambda': 23.0}
A-n38-k5,Christiansen and Lysgaard (2007),11,customer,41.0,51.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n38-k5,Christiansen and Lysgaard (2007),12,customer,93.0,9.0,25.0,stochastic,Poisson,{'lambda': 25.0}
A-n38-k5,Christiansen and Lysgaard (2007),13,customer,11.0,49.0,1.0,stochastic,Poisson,{'lambda': 1.0}
A-n38-k5,Christiansen and Lysgaard (2007),14,customer,75.0,89.0,5.0,stochastic,Poisson,{'lambda': 5.0}
A-n38-k5,Christiansen and Lysgaard (2007),15,customer,75.0,69.0,17.0,stochastic,Poisson,{'lambda': 17.0}
A-n38-k5,Christiansen and Lysgaard (2007),16,customer,97.0,95.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n38-k5,Christiansen and Lysgaard (2007),17,customer,15.0,13.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n38-k5,Christiansen and Lysgaard (2007),18,customer,63.0,95.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n38-k5,Christiansen and Lysgaard (2007),19,customer,47.0,41.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n38-k5,Christiansen and Lysgaard (2007),20,customer,45.0,41.0,5.0,stochastic,Poisson,{'lambda': 5.0}
A-n38-k5,Christiansen and Lysgaard (2007),21,customer,89.0,43.0,26.0,stochastic,Poisson,{'lambda': 26.0}
A-n38-k5,Christiansen and Lysgaard (2007),22,customer,45.0,59.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n38-k5,Christiansen and Lysgaard (2007),23,customer,95.0,23.0,20.0,stochastic,Poisson,{'lambda': 20.0}
A-n38-k5,Christiansen and Lysgaard (2007),24,customer,19.0,83.0,21.0,stochastic,Poisson,{'lambda': 21.0}
A-n38-k5,Christiansen and Lysgaard (2007),25,customer,71.0,69.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n38-k5,Christiansen and Lysgaard (2007),26,customer,27.0,19.0,12.0,stochastic,Poisson,{'lambda': 12.0}
A-n38-k5,Christiansen and Lysgaard (2007),27,customer,17.0,57.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n38-k5,Christiansen and Lysgaard (2007),28,customer,93.0,15.0,12.0,stochastic,Poisson,{'lambda': 12.0}
A-n38-k5,Christiansen and Lysgaard (2007),29,customer,59.0,29.0,4.0,stochastic,Poisson,{'lambda': 4.0}
A-n38-k5,Christiansen and Lysgaard (2007),30,customer,35.0,39.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n38-k5,Christiansen and Lysgaard (2007),31,customer,33.0,51.0,25.0,stochastic,Poisson,{'lambda': 25.0}
A-n38-k5,Christiansen and Lysgaard (2007),32,customer,61.0,21.0,7.0,stochastic,Poisson,{'lambda': 7.0}
A-n38-k5,Christiansen and Lysgaard (2007),33,customer,89.0,53.0,3.0,stochastic,Poisson,{'lambda': 3.0}
A-n38-k5,Christiansen and Lysgaard (2007),34,customer,33.0,85.0,2.0,stochastic,Poisson,{'lambda': 2.0}
A-n38-k5,Christiansen and Lysgaard (2007),35,customer,37.0,37.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n38-k5,Christiansen and Lysgaard (2007),36,customer,21.0,91.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n38-k5,Christiansen and Lysgaard (2007),37,customer,67.0,95.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n38-k5,Christiansen and Lysgaard (2007),38,customer,61.0,15.0,14.0,stochastic,Poisson,{'lambda': 14.0}
